ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Threshold,accuracy,precision,recall,f1,roc_auc,Precision at 1%,Precision at 2%,Precision at 5%,Precision at 10%,Precision at 20%,Precision at 30%,Precision at 50%
0.0,Logistic Regression,0.0,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear'}",0.06682062149047853,0.002992391586303711,0.1,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.8949771689497716,0.8949771689497716,0.8278038053351181,0.7813366686606124
0.0,Logistic Regression,0.0,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear'}",0.06682062149047853,0.002992391586303711,0.2,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.8949771689497716,0.8949771689497716,0.8278038053351181,0.7813366686606124
0.0,Logistic Regression,0.0,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear'}",0.06682062149047853,0.002992391586303711,0.3,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.8949771689497716,0.8949771689497716,0.8278038053351181,0.7813366686606124
0.0,Logistic Regression,0.0,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear'}",0.06682062149047853,0.002992391586303711,0.4,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.8949771689497716,0.8949771689497716,0.8278038053351181,0.7813366686606124
0.0,Logistic Regression,0.0,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear'}",0.06682062149047853,0.002992391586303711,0.5,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.8949771689497716,0.8949771689497716,0.8278038053351181,0.7813366686606124
1.0,Decision Tree,0.0,"{'min_samples_split': 0.01, 'max_depth': 5}",0.05684828758239746,0.005983352661132813,0.1,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9336188436830836,0.9336188436830836,0.9281385281385282,0.9172815533980584,0.880497634483967,0.8151373675704794,0.7983066657099807
2.0,Random Forest,0.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 1}",4.518908262252808,0.3111453056335449,0.1,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9434782608695652,0.9347826086956522,0.9165217391304348,0.9134406263592867,0.8927794693344933,0.8683294663573086,0.831636648394675
2.0,Random Forest,0.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 1}",4.518908262252808,0.3111453056335449,0.2,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9434782608695652,0.9347826086956522,0.9165217391304348,0.9134406263592867,0.8927794693344933,0.8683294663573086,0.831636648394675
2.0,Random Forest,0.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 1}",4.518908262252808,0.3111453056335449,0.3,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9434782608695652,0.9347826086956522,0.9165217391304348,0.9134406263592867,0.8927794693344933,0.8683294663573086,0.831636648394675
2.0,Random Forest,0.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 1}",4.518908262252808,0.3111453056335449,0.4,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9434782608695652,0.9347826086956522,0.9165217391304348,0.9134406263592867,0.8927794693344933,0.8683294663573086,0.831636648394675
2.0,Random Forest,0.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 1}",4.518908262252808,0.3111453056335449,0.5,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9434782608695652,0.9347826086956522,0.9165217391304348,0.9134406263592867,0.8927794693344933,0.8683294663573086,0.831636648394675
2.0,Random Forest,0.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 1}",4.518908262252808,0.3111453056335449,0.6,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9434782608695652,0.9347826086956522,0.9165217391304348,0.9134406263592867,0.8927794693344933,0.8683294663573086,0.831636648394675
