ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Threshold,accuracy,precision,recall,f1,roc_auc,Precision at 1%,Precision at 2%,Precision at 5%,Precision at 10%,Precision at 20%,Precision at 30%,Precision at 50%
0.0,Logistic Regression,32.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear'}",0.3251321315765381,0.002992868423461914,0.9,0.3079700687374924,0.9387886597938144,0.08437083791765591,0.15482705488550022,0.5338768655217105,0.9652173913043478,0.9565217391304348,0.9452173913043478,0.9334493257938234,0.9051761635493693,0.8745649651972158,0.8305925345862699
1.0,Decision Tree,16.0,"{'min_samples_split': 0.05, 'max_depth': 5}",0.05385613441467285,0.005984067916870117,0.9,0.3325067432350126,0.9253533568904594,0.1213156523249754,0.21450878001331086,0.545877346890142,0.9253533568904594,0.9253533568904594,0.9253533568904594,0.9156626506024096,0.8817642698295033,0.8151373675704794,0.7983066657099807
2.0,Random Forest,7.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 36}",6.643273115158081,0.3121321201324463,0.9,0.29774645436352565,0.9371605896043445,0.06995193699693092,0.13018644250458025,0.5278918334626075,0.9565217391304348,0.9630434782608696,0.9417391304347826,0.9239130434782608,0.9019352033050664,0.8738399071925754,0.8163229792047333
3.0,Bagging,42.0,"{'max_samples': 0.3, 'max_features': 51}",26.82194995880127,4.269638776779175,0.9,0.2699469242147394,0.9518518518518518,0.02976431756326365,0.05772362288730418,0.5126082388935786,0.9521739130434784,0.9518599562363238,0.9382608695652174,0.927114967462039,0.8985444275472518,0.8719547563805105,0.8311157491955822
4.0,Ada Boosting,6.0,"{'algorithm': 'SAMME.R', 'learning_rate': 0.001}",18.22604489326477,3.309642791748047,0.7,0.4067693378578265,0.8949771689497716,0.23834616943656264,0.3764404609475031,0.5769306498748319,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.8949771689497716,0.8949771689497716,0.8278038053351181,0.7755926159009859
0.0,Logistic Regression,32.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear'}",0.34311628341674805,0.0,0.9,0.3079700687374924,0.9387886597938144,0.08437083791765591,0.15482705488550022,0.5338768655217105,0.9652173913043478,0.9565217391304348,0.9452173913043478,0.9334493257938234,0.9051761635493693,0.8745649651972158,0.8305925345862699
0.0,Logistic Regression,32.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear'}",0.3332676887512207,0.0,0.9,0.3079700687374924,0.9387886597938144,0.08437083791765591,0.15482705488550022,0.5338768655217105,0.9652173913043478,0.9565217391304348,0.9452173913043478,0.9334493257938234,0.9051761635493693,0.8745649651972158,0.8305925345862699
1.0,Decision Tree,16.0,"{'min_samples_split': 0.05, 'max_depth': 5}",0.05856513977050781,0.00400090217590332,0.9,0.3325067432350126,0.9253533568904594,0.1213156523249754,0.21450878001331086,0.545877346890142,0.9253533568904594,0.9253533568904594,0.9253533568904594,0.9156626506024096,0.8817642698295033,0.8151373675704794,0.7983066657099807
2.0,Random Forest,7.0,"{'min_samples_split': 0.01, 'max_depth': 5, 'max_features': 36}",7.08570122718811,0.6415135860443115,0.9,0.29774645436352565,0.9371605896043445,0.06995193699693092,0.13018644250458025,0.5278918334626075,0.9565217391304348,0.9630434782608696,0.9417391304347826,0.9239130434782608,0.9019352033050664,0.8738399071925754,0.8163229792047333
3.0,Bagging,42.0,"{'max_samples': 0.3, 'max_features': 51}",14.162917137145994,3.2079102993011475,0.9,0.2708605237970939,0.9472759226713532,0.031211998378597488,0.06043278394438839,0.5129822454723143,0.9576271186440678,0.9446808510638298,0.9307100085543198,0.9246014648858252,0.8931744312026002,0.8739860950173812,0.8321478140180429
